"Release_Week","Region","Week","Sites_Reporting","Total_Patient_Visits","Total_ILI","Perc_Unweighted_ILI","Perc_Weighted_ILI"
"1141","National",201140,1428,629166,7461,1.186,1.093
"1141","National",201141,1290,578778,6774,1.17,0.98
"1141","Region 1",201140,123,44166,222,0.503,0.411
"1141","Region 1",201141,100,34327,252,0.734,0.584
"1141","Region 2",201140,150,101388,1222,1.205,0.8
"1141","Region 2",201141,139,99959,1430,1.431,0.881
"1141","Region 3",201140,176,97839,1089,1.113,0.913
"1141","Region 3",201141,168,96682,1106,1.144,0.808
"1141","Region 4",201140,286,118776,1462,1.231,1.089
"1141","Region 4",201141,257,98830,1219,1.233,1.076
"1141","Region 5",201140,230,83381,910,1.091,0.922
"1141","Region 5",201141,192,70431,665,0.944,0.842
"1141","Region 6",201140,133,63035,1289,2.045,1.917
"1141","Region 6",201141,120,60189,1117,1.856,1.721
"1141","Region 7",201140,72,18866,163,0.864,0.861
"1141","Region 7",201141,67,16829,127,0.755,0.717
"1141","Region 8",201140,91,38812,446,1.149,1.052
"1141","Region 8",201141,100,43511,446,1.025,0.835
"1141","Region 9",201140,137,53601,577,1.076,1.337
"1141","Region 9",201141,124,51790,340,0.656,0.797
"1141","Region 10",201140,30,9302,81,0.871,0.546
"1141","Region 10",201141,23,6230,72,1.156,1.01
"1142","National",201140,1549,663603,7949,1.198,1.125
"1142","National",201141,1513,654962,7991,1.22,1.149
"1142","National",201142,1353,582572,7090,1.217,1.098
"1142","Region 1",201140,128,44979,230,0.511,0.42
"1142","Region 1",201141,123,38492,283,0.735,0.632
"1142","Region 1",201142,111,39411,267,0.677,0.686
"1142","Region 2",201140,173,107835,1258,1.167,0.838
"1142","Region 2",201141,166,107453,1469,1.367,0.891
"1142","Region 2",201142,150,102285,1387,1.356,0.96
"1142","Region 3",201140,189,100958,1220,1.208,1.207
"1142","Region 3",201141,187,100334,1222,1.218,1.051
"1142","Region 3",201142,172,101303,1147,1.132,0.899
"1142","Region 4",201140,301,123090,1478,1.201,1.077
"1142","Region 4",201141,292,121728,1462,1.201,1.1
"1142","Region 4",201142,267,97914,1241,1.267,1.088
"1142","Region 5",201140,251,89420,1058,1.183,0.964
"1142","Region 5",201141,239,85821,965,1.124,0.929
"1142","Region 5",201142,217,73993,830,1.122,1.044
"1142","Region 6",201140,141,64915,1324,2.04,1.918
"1142","Region 6",201141,134,62853,1154,1.836,1.706
"1142","Region 6",201142,122,58720,1214,2.067,1.944
"1142","Region 7",201140,77,20073,191,0.952,1.002
"1142","Region 7",201141,76,19666,192,0.976,1.013
"1142","Region 7",201142,66,16510,89,0.539,0.595
"1142","Region 8",201140,95,39906,457,1.145,1.056
"1142","Region 8",201141,106,45323,480,1.059,0.878
"1142","Region 8",201142,100,42444,450,1.06,0.885
"1142","Region 9",201140,158,60293,625,1.037,1.282
"1142","Region 9",201141,154,62963,650,1.032,1.562
"1142","Region 9",201142,116,41832,389,0.93,1.128
"1142","Region 10",201140,36,12134,108,0.89,0.475
"1142","Region 10",201141,36,10329,114,1.104,0.819
"1142","Region 10",201142,32,8160,76,0.931,0.672
